Drug,GNN_emb_1,GNN_emb_2,GNN_emb_3,GNN_emb_4,GNN_emb_5,GNN_emb_6,GNN_emb_7,GNN_emb_8,GNN_emb_9,GNN_emb_10,GNN_emb_11,GNN_emb_12,GNN_emb_13,GNN_emb_14,GNN_emb_15,GNN_emb_16,GNN_emb_17,GNN_emb_18,GNN_emb_19,GNN_emb_20,GNN_emb_21,GNN_emb_22,GNN_emb_23,GNN_emb_24,GNN_emb_25,GNN_emb_26,GNN_emb_27,GNN_emb_28,GNN_emb_29,GNN_emb_30,GNN_emb_31,GNN_emb_32
RIF,-0.4272041320800781,-0.3306201100349426,0.04585343226790428,-0.07787103205919266,-1.038075566291809,0.45395904779434204,-0.28975099325180054,-0.04181155562400818,0.367573618888855,-0.5835208296775818,0.07339706271886826,-0.2311370074748993,-0.1612004041671753,0.0977647602558136,-0.27987033128738403,0.9161977767944336,1.2567052841186523,-0.5158639550209045,0.42050814628601074,0.3297138512134552,-0.3103843331336975,-0.43255895376205444,-0.5474628806114197,-1.3526910543441772,0.4467770755290985,-0.7692717909812927,-1.129386067390442,0.3461666405200958,0.1691349595785141,1.3590401411056519,0.07708103209733963,0.27104273438453674
INH,-0.4976319670677185,-0.31656789779663086,0.04481539875268936,-0.09108487516641617,-0.9277209043502808,0.4342283606529236,-0.23231129348278046,-0.15676471590995789,0.34997424483299255,-0.4401663839817047,0.07610485702753067,-0.1810809075832367,-0.1369912177324295,0.07193154096603394,-0.3469809293746948,0.9781756401062012,1.1933869123458862,-0.5745569467544556,0.34453529119491577,0.32954320311546326,-0.3213983178138733,-0.4345599114894867,-0.4988994598388672,-1.3351833820343018,0.5022501945495605,-0.7845990657806396,-1.015115737915039,0.3042904734611511,0.22904887795448303,1.2776098251342773,0.12091095745563507,0.32493337988853455
PZA,-0.4970867335796356,-0.32138362526893616,0.08049246668815613,-0.12330231070518494,-0.9042341709136963,0.4132542610168457,-0.22499924898147583,-0.18063406646251678,0.34843891859054565,-0.42381536960601807,0.08889933675527573,-0.1932193785905838,-0.14031659066677094,0.06918036192655563,-0.36263328790664673,0.945536196231842,1.1801116466522217,-0.5836499333381653,0.31605079770088196,0.32583755254745483,-0.307445228099823,-0.4305783212184906,-0.4729243516921997,-1.3250415325164795,0.47906434535980225,-0.7958163022994995,-0.9917786717414856,0.2959553301334381,0.23587121069431305,1.2357194423675537,0.1368493288755417,0.32004526257514954
EMB,-0.4727115035057068,-0.3516233265399933,-0.1531776338815689,0.2535216212272644,-1.1745655536651611,0.5677888989448547,-0.29274576902389526,0.035005293786525726,0.5013704299926758,-0.5345593690872192,0.004277619067579508,-0.08722478896379471,-0.11606665700674057,0.1565282642841339,-0.07360943406820297,1.148581862449646,1.3312675952911377,-0.6045780181884766,0.5949169397354126,0.4203111231327057,-0.38931676745414734,-0.37595078349113464,-0.6507217288017273,-1.4587069749832153,0.5856409072875977,-0.8127350807189941,-1.3094676733016968,0.29727959632873535,0.21827879548072815,1.6283996105194092,-0.050068747252225876,0.2770097255706787
